"Station","Epiyear","Epiweek","Date","Daily_Rainfall_Total_mm","Highest_30_Min_Rainfall_mm","Highest_60_Min_Rainfall_mm","Highest_120_Min_Rainfall_mm","Mean_Temperature_degC","Maximum_Temperature_degC","Minimum_Temperature_degC","Mean_Wind_Speed_kmh","Max_Wind_Speed_kmh"
"Admiralty",2012,29,2012-07-16,50.2,NA,NA,NA,25.8,28.3,23.1,4.8,28.1
"Admiralty",2012,29,2012-07-17,6.8,NA,NA,NA,25.9,30.6,24.4,5.8,33.1
"Admiralty",2012,29,2012-07-18,0,NA,NA,NA,27.3,30.6,24.9,5.3,22.7
"Admiralty",2012,29,2012-07-19,36.2,NA,NA,NA,26,30.9,23.4,4.8,29.9
"Admiralty",2012,29,2012-07-20,0.4,NA,NA,NA,27.3,31.9,24,5.8,28.1
"Admiralty",2012,29,2012-07-21,0,NA,NA,NA,28.9,33,26.3,5.6,28.1
"Admiralty",2012,30,2012-07-22,0,NA,NA,NA,29,33.3,25.3,6.9,30.2
"Admiralty",2012,30,2012-07-23,0,NA,NA,NA,28.9,32.2,26.6,7.5,32.4
"Admiralty",2012,30,2012-07-24,0,NA,NA,NA,29,32.1,26.6,6.7,28.4
"Admiralty",2012,30,2012-07-25,0,NA,NA,NA,29,32.9,26.4,6.9,29.2
"Admiralty",2012,30,2012-07-26,0,NA,NA,NA,29.4,33,27.2,8.6,31.3
"Admiralty",2012,30,2012-07-27,0,NA,NA,NA,29.2,32.9,26.9,8.1,30.6
"Admiralty",2012,30,2012-07-28,3.4,NA,NA,NA,28.2,32.9,24,7.4,39.6
"Admiralty",2012,31,2012-07-29,0,NA,NA,NA,28.5,32,25.5,6.3,25.2
"Admiralty",2012,31,2012-07-30,0,NA,NA,NA,28.9,32.2,26.7,7.1,32.4
"Admiralty",2012,31,2012-07-31,0,NA,NA,NA,28.8,32.2,26.7,6.9,27
"Admiralty",2012,31,2012-08-01,0.8,NA,NA,NA,27.8,30,24.9,6.4,36
"Admiralty",2012,31,2012-08-02,0,NA,NA,NA,28.7,32.2,26.3,6.1,21.2
"Admiralty",2012,31,2012-08-03,40,NA,NA,NA,27.4,31,24.5,9.3,44.6
"Admiralty",2012,31,2012-08-04,10,NA,NA,NA,26.9,32,24.5,6.3,43.6
"Admiralty",2012,32,2012-08-05,0,NA,NA,NA,28.1,32.1,25.3,5.4,25.2
"Admiralty",2012,32,2012-08-06,2.6,NA,NA,NA,27.6,31,25.1,6.4,31.3
"Admiralty",2012,32,2012-08-07,0,NA,NA,NA,28.2,32.3,24.2,6.8,29.2
"Admiralty",2012,32,2012-08-08,0,NA,NA,NA,28.7,31.9,25.3,7.1,30.2
"Admiralty",2012,32,2012-08-09,0,NA,NA,NA,28.7,32,26,8.4,32
"Admiralty",2012,32,2012-08-10,0,NA,NA,NA,29,32.9,26.6,8.1,28.4
"Admiralty",2012,32,2012-08-11,0,NA,NA,NA,29.2,33,25.5,7.3,26.3
"Admiralty",2012,33,2012-08-12,0,NA,NA,NA,28.2,32.8,25.3,8.3,33.1
"Admiralty",2012,33,2012-08-13,1.4,NA,NA,NA,27.7,31.3,24.3,6.1,38.5
"Admiralty",2012,33,2012-08-14,0,NA,NA,NA,29.3,33.5,25.5,6.5,24.5
"Admiralty",2012,33,2012-08-15,0,NA,NA,NA,29,32.6,26.9,9.8,39.2
"Admiralty",2012,33,2012-08-16,0,NA,NA,NA,28.1,31,25.8,7.7,35.3
"Admiralty",2012,33,2012-08-17,17.6,NA,NA,NA,26.6,29.6,23,5.7,34.2
"Admiralty",2012,33,2012-08-18,0,NA,NA,NA,27.5,32.5,24.6,6.6,33.1
"Admiralty",2012,34,2012-08-19,5.8,NA,NA,NA,27.2,31.9,24,6.8,29.9
"Admiralty",2012,34,2012-08-20,30.4,NA,NA,NA,28,32.9,22.1,7.2,60.1
"Admiralty",2012,34,2012-08-21,2.4,NA,NA,NA,26.9,33.3,25,7.1,53.6
"Admiralty",2012,34,2012-08-22,0.4,NA,NA,NA,27.4,31.6,24.4,5.1,28.8
"Admiralty",2012,34,2012-08-23,1.4,NA,NA,NA,26.7,29.5,23.8,9,49.3
"Admiralty",2012,34,2012-08-24,0,NA,NA,NA,28.5,32.2,25.6,7.1,31
"Admiralty",2012,34,2012-08-25,8.2,NA,NA,NA,27.6,30.5,25.4,7.3,45.4
"Admiralty",2012,35,2012-08-26,2.6,NA,NA,NA,27.2,30.7,25.5,5.4,32.8
"Admiralty",2012,35,2012-08-27,35.4,NA,NA,NA,25.3,29,23.6,5.6,30.6
"Admiralty",2012,35,2012-08-28,0.2,NA,NA,NA,25.8,28.4,24.4,7,31.3
"Admiralty",2012,35,2012-08-29,0,NA,NA,NA,27.4,30,24.9,5.2,22.7
"Admiralty",2012,35,2012-08-30,6.8,NA,NA,NA,25.8,28.7,23.9,6.4,33.5
"Admiralty",2012,35,2012-08-31,2,NA,NA,NA,26,28.6,23.9,5.2,33.1
"Admiralty",2012,35,2012-09-01,0,NA,NA,NA,28.9,32.5,26.4,8.1,29.5
"Admiralty",2012,36,2012-09-02,0,NA,NA,NA,29,32.9,26.3,8.2,26.3
"Admiralty",2012,36,2012-09-03,0,NA,NA,NA,28.9,33,26.6,8.9,27.4
"Admiralty",2012,36,2012-09-04,2.2,NA,NA,NA,28.6,32.8,24.3,8.1,32.4
"Admiralty",2012,36,2012-09-05,0,NA,NA,NA,26.2,29.2,24.4,8.6,34.9
"Admiralty",2012,36,2012-09-06,0,NA,NA,NA,27.3,31.3,24.6,6,33.8
"Admiralty",2012,36,2012-09-07,3.6,NA,NA,NA,26.8,32.3,24,7.4,39.6
"Admiralty",2012,36,2012-09-08,8.2,NA,NA,NA,27.2,30.4,24.2,8,23.8
